term,icons,part_of_speech,derivations,etymology,roots,highlight,application,exploration,quote,author,source_major,event_collection
omen,"['essential', 'common', 'concept']",n.,['ominous (adj.)'],"1580s, from Latin omen “foreboding”, from Old Latin osmen, of unknown origin; perhaps connected with the root of audire “to hear” or from o- “to believe, hold as true”.",,"['foreboding', 'an event regarded as a portent for good or evil']","['consider the relationship between omens and symbols.', 
'distinguish between good and bad omens.', 
'consider the relationship between omens and intuition.', 
'consider the relationship between omens and reason.', 
'explore omens in a different cultures.', ]","['Is it reasonable to believe in omens?',
'What might be the logical explanation for the cultural existence of omens?',
'How can a writer create an ominous mood?',
'Is it possible that omens are unconscious signifiers?']","If we look at comedy, we find that a situation is presented which gradually becomes more ominous and threatening and foreboding of disaster to the characters with which we are sympathetic. Then there’s a kind of gimmick or sudden shift in the plot, and eventually it moves towards a happy ending where everybody gets married, and the hero and heroine’s real life is assumed to begin after the play is over.
","Northrup Frye
",Symbolism in the Bible,aswl1_e1
oral tradition,"['common', 'concept']",n.,,"Oral tradition and oral lore is cultural material and tradition transmitted orally from one generation to another. The messages or testimony are verbally transmitted in speech or song and may take the form, for example, of folktales, sayings, ballads, songs, or chants. In this way, it is possible for a society to transmit oral history, oral literature, oral law and other knowledges across generations without a writing system.",,['cultural material and tradition transmitted orally from one generation to another'],"['understand the difference between an oral tradition and a written history.', 
'know that language is both written and spoken.', 
'consider the antagonism between oral tradition and written history.', 
'know that a people without a written history may have an oral history.', 
'consider how language itself is an oral tradition.', 
'engage in an exploration of someone’s oral history from your community.'
]","['Is a written history superior to an oral history?',
'What are the limitations of an oral history?',
'How much of your personal history is orally transmitted?',
'In what sense is the static nature of a written history dangerous?',
'Which regions or cultures around the world have an oral tradition?']","Hurston’s very rhetorical strategy, her invention of what I have chosen to call the speakerly text, seems designed to mediate between, for fiction [...] a profoundly lyrical, densely metaphorical, quasi-musical, privileged black oral tradition on the one hand, and a received but not yet fully appropriated standard English literary tradition on the other hand.

","Henry Louis Gates, Jr.
",The Signifying Monkey,aswl1_e1
"personify
","['device', 'essential', 'common']",tr. v.,"['personification (n.)', 'personified (adj.)']","1727 “to attribute personal form to things or abstractions” (especially as an artistic or literary technique), from person + -fy or from French personnifier (17c.), from personne., 1806 meaning “to represent, embody”.
","['person-', '-ify']","['to attribute personal form to things or abstractions to represent', 'embody']","['know that personification is the opposite of zoomorphication.', 
'know that personification is a synonym for anthropomorphication.', 
'consider personification in relation to prosopopeias, apostrophe, and zoomorphism.', 
'explore the use of personification in a text and discuss its potential significance.', 
'consider the relationship between personification and extended metaphor.',         
'utilize personification in writing.']","['Is it easier to understand people or things?',
'How is a thing like a person?',
'How is a person like a thing?',
'Why do writers use personification?',
'How can we effectively use personification?']","The reader will find that personifications of abstract ideas rarely occur in these volumes, and are utterly rejected, as an ordinary device to elevate the style, and raise it above prose. My purpose was to imitate, and, as far as possible, to adopt the very language of men; and assuredly such personifications do not make any natural or regular part of that language.


",William Wordsworth,Preface to the 2nd Edition of Lyrical Ballads,aswl1_e1
polysyndeton,"['device', 'concept']",n.,,"The use of several conjunctions in close succession, especially where some could otherwise be omitted (as in “she tried and failed and tried again”). The word polysyndeton comes from the Greek “poly-,” meaning “many,” and “syndeton,” meaning “bound together with.”","['poly-', '-syndeton']",['use of several conjunctions in close succession'],"['know that polysyndeton is the opposite of asyndeton.', 'recognize the use of this device in both poetry and prose.', 'consider the effect of polysyndeton in speeches.', 'be aware that polysyndeton is a technique to employ when wishing to place emphasis on items in a list.', 'employ polysyndeton in our own writing.']","['How does polysyndeton effect the pacing of a speech?',
'Is the polysyndeton emphasizing the items it contains?']","An example of the problems encountered is that both the omission of connectives (here called dialusis; in modern terminology asyndeton) and the repetition of connectives (sunapheia; polysyndeton) can create impressiveness.
",George A. Kennedy,"“The Evolution of a Theory of Artistic Prose: Demetrius, On Style”",aswl1_e1
rhyme,"['device', 'essential', 'common', 'concept']",n.,"['rhyming (adj.)', 'rhyme (v.)']","1560s,“agreement in terminal sounds”, partially restored spelling, from Middle English ryme, rime (~1200) “measure, meter, rhythm,” later “rhymed verse” (mid-1300s.), from Old French rime (fem.), related to Old Provençal rim (masc.), earlier ritme, from Latin rithmus, from Greek rhythmos “measured motion, time, proportion.”', '1500s, Phrase rhyme or reason “good sense” (chiefly used in the negative)', '1931, rhyme scheme.",,['agreement in terminal sounds'],"['know the varieties of rhyme: full rhyme, slant rhyme, end rhyme, internal rhyme.', 
'determine the rhyme scheme of a poem.', 
'be aware of rhyme scheme and poetic forms, i.e.,  the sonnet, the villanelle, the sestina.', 
'produce a poem with a rhyme scheme.', 
'consider whether rhyme aids memory.', 
'consider how rhyme affects the rhthym of the poem.']","['Why do we mark the rhyme scheme of a poem?',
'How is rhyme used in popular music?',
'Besides words, can other things rhyme?',
'What is unintentional rhyme?',
'Do poems have to rhyme?',
'Why might a poet decide to employ rhyme?',
'Which is more subtle end rhyme or internal rhyme?', 'Full rhyme or slant rhyme?']","Now, that verse far exceedeth prose in the knitting up of the memory, the reason is manifest—the words (besides their delight, which hath a great affinity to memory) being so set as one word cannot be lost but the whole work fails; which accuseth itself, calleth the remembrance back to itself, and so most strongly confirmeth it. Besides, one word so, as it were, begetting another, as, be it in rhyme or measured verse, by the former a man shall have a near guess to the follower.
",Sir Philip Sydney,An Apology for Poetry,aswl1_e1
stanza,"['device', 'essential', 'common', 'concept']",n.,['stanzaic (adj.)'],"1580s, “group of rhymed verse lines”, from Italian stanza “verse of a poem,” originally “standing, stopping place,” from Vulgar Latin stantia “a stanza of verse,” so called from the stop at the end of it, from Latin stantem (nominative stans), present participle of stare “to stand,” from  root stā- “to stand, set down, make or be firm.”",['stantem'],['group of rhymed verse lines'],"['know that poetry is structured in stanzas, not paragraphs.', 
'know that stanzas are separated by line breaks.', 
'consider how the stanzaic structure of a poem may add to the potential significance.', 
'know the relationship between stanza length and poetic forms.'

]","['How might stanzaic organization aid in conveying meaning?',
'Is a stanza in poetry similar to a paragraph in prose?',
'How does stanza length relate to rhythm?']","Spenser concentrates the reader’s attention on to the movement of his stanza: by the use of archaic words and constructions, so that one is at a safe distance from the exercise of an immediate judgment,’ by the steady untroubled low of similar lines, by making no rapid change of sense or feeling, by sustained alliteration, parallel adjectives, and full statement of the accessories of a thought, and by the dreamy repetition of the great stanza perpetually pausing at its close.
",William Empson,Seven Types of Ambiguity,aswl1_e1
text,"['essential', 'common', 'concept']",n.,['textual (adj.)'],"Late 1400s, “wording of anything written”, from Old French texte, Old North French tixte “text, book; Gospels” (~1200), from Medieval Latin textus “the Scriptures, text, treatise,” in Late Latin “written account, content, characters used in a document,” from Latin textus “style or texture of a work,” literally “thing woven,” from past participle stem of texere “to weave, to join, fit together, braid, interweave, construct, fabricate, build,” from root teks- “to weave, to fabricate, to make; make wicker or wattle framework.”",['texts'],"['anything written', 'thing woven']","['know that a text refers to anything that can be interpreted.', 
'consider whether everything is a text.', 
'consider whether all literature is just one text.'

]","['How does text as a “thing woven” change your understanding of the term?',
'Are you a text?',
'What does it say about texts that they can be interpreted?',
'How are all texts interrelated?']","A classical text must never be entirely comprehensible. But those who are cultivated and who cultivate themselves must always want to learn more from it.

",Friedrich Schlegel,Critical Fragments,aswl1_e1
trait,"['essential', 'common', 'concept']",n.,,"Late 1500s, “shot, missiles;” later “a stroke in drawing, a short line”', '1752, in English “particular feature, distinguishing quality”",,"['particular feature', 'distinguishing quality']","['consider various types of character traits.', 
'consider which trait best describes a character.', 
'consider our own character traits.', 
'consider how a character might possess both positive and negative traits.', 
'consider both physical and non-physical traits.'

]","['How do individual traits combine to form a complete character?',
'Can the parts be understood without the whole or vice-versa?',
'What traits do we commonly consider as positive or negative?', 
'Why are certain traits considered as positive or negative?']","I find that Homer paints nothing but progressive actions, and paints all bodies and individual things only on account of their relation to these actions, and generally with a single trait. 

",Gotthold Ephraim Lessing,Laocoön,aswl1_e1
translation,"['essential', 'common', 'concept']",n.,"['translator (n.)', 'translated (adj.)', 'translate (v.)']","Mid-1400s, “removal of a saint’s body or relics to a new place”, '“rendering of a text from one language to another”, from Old French translacion “translation” or directly from Latin translationem “a carrying across, removal, transporting; “transfer of meaning.”",,"['rendering of a text from one language to another, transfer of meaning']","['be aware of the three basic types of translation: interlingual, intralingual, and intersemiotic.', 
'consider how we “translate” sense perception.', 
'consider translation as a type of negotiation.', 
'evaluate an original text and its translation.', 
'evaluate two different translations.', 
'translate a text.'

]","['How do we translate even within our own languages?',
'Is translation an art?',
'In a sense, is every text a translation?',
'What are the three basic types of translation?']","Now an Allegory is but a translation of abstract notions into a picture-language which is itself nothing but an abstraction from obj ects of the senses; the principal being more worthless even than its phantom proxy, both alike unsubstantial, and the former shapeless to boot. 

",Samuel Taylor Coleridge,The Statesman’s Manual,aswl1_e1
trope,"['device', 'common', 'concept']",n.,"['tropological (adj.)', 'topologically (adv.)']","1530s, from Latin tropus “a figure of speech”, from Greek tropos “a turn, direction, course, way; manner, fashion”, in rhetoric, “turn or figure of speech”, related to trope “a turning” and trepein “to turn”, from root trep- “to turn”.",['trep-'],"['a figure of speech', 'a significant or recurrent theme; a motif']","['know that tropes refer to common devices or structures used in literature.', 
'be aware of common tropes.', 
'consider how tropes are modified to avoid becoming clichéd.', 
'consider trope in relationship with conceit.']","['What are some common tropes in popular culture?',
'How are tropes updated or modified?',
'Can symbols be tropes?',
'How do tropes help to create meaning?']","The etymologist finds the deadest word to have been once a brilliant picture. Language is fossil poetry. As the limestone of the continent consists of infinite masses of the shells of animalcules, so language is made up of images or tropes, which now, in their secondary use, have long ceased to remind us of their poetic origin. 

",Ralph Waldo Emerson,The Poet,aswl1_e1
"abstract
","['essential', 'common']","adj.

","['abstract (v.)', 'abstraction (n.)']","Mid 1400s, “withdrawn or separated from material objects or practical matters”.', '~1400, “difficult to understand, abstruse”.', '1914, in reference to modern art ', '1940s-50s, abstract expressionism, specifically in reference to the work of Jackson Pollock, though the term itself had been used in the 1920s of Wassily Kandinsky as well as certain Impressionistic painters such as Claude Monet.",['abs-'],"['withdrawn or separated from material objects or practical matters', 'difficult to understand', 'abstruse']","['know that abstract is the opposite of concrete.', 'considered the term “abstract” in relation to figurative and literal.', 'explore whether these terms apply to other disciplines as well.', 'consider the significance of abstract art for art itself and Modernism.'
]","['How is it that abstract concepts in mathematics lead to concrete results?', 
'Is something similar happening in literature?', 
'Since language itself has an intrinsic dependence on metaphor, is it possible to escape abstraction?']","The physician weigheth the nature of a man’s body, and the nature of things helpful or hurtful unto it. And the metaphysic, though it be in the second and abstract notions, and therefore be counted supernatural, yet doth he indeed build upon the depth of nature. 
 ",Sir Philip Sydney,An Apology for Poetry,aswl1_e1
Apollo,"['figure', 'common']",n.,['Apollonian (adj.)'],"Olympian deity. God of music, poetry, medicine, etc., later identified with Helios, the sun god. The name is a Latin form of Greek Apollon, said to be perhaps related to an obsolete Greek verb meaning “to drive away” (evil, etc.).",,"['Olympian deity', 'god of music', 'poetry', 'medicine']","['know that Apollo will function as the primary archetype of masculinity from which other symbolic and archetypal functions will be derived.', 'explore what possibille significations arise from Apollo and enumerate them.', 'understand how Apollonian archetypes compare to those of Dionysus.' ]","['Are there any archetypes that are universal?', 
'What might the presence or absence of universal archetypes suggest about the human condition?', 
'What objects in your classroom or home are Apollonian in nature?', ]","It is by those two art sponsoring deities, Apollo and Dionysus, that we are made to recognize the tremendous split, as regards both origins and objectives, between the plastic, Apollinian arts and the nonvisual art of music inspired by Dionysus. 
","Friedrich Nietzsche
","The Birth of Tragedy
",aswl1_e1
asyndeton,"['device', 'concept']",n.,,"1580s, “omission of conjunctions”, from Latin, from Greek asyndeton, neuter of asyndetos “unconnected,” from a-, privative prefix, + syndetos, from syndein “to bind together,” from syn- “together” + dein “to bind,” related to desmos “band,” from de- “to bind.”","['a-', 'syn-', '-dein']",['omission of conjunctions'],[],"['How does asyndeton effect the pacing of a speech?', 
'When an asyndeton is encountered as a list of items, does it suggest a symbolic relationship between those items?', ]","[I]n the speech against Meidias, examples will be found of asyndeton, interwoven with instances of anaphora and diatyposis. ‘For the smiter can do many things (some of which the sufferer cannot  even describe to another) by attitude, by look, by voice.’

","Pseudo-Longinus
",On the Sublime,aswl1_e1
conceit,"['device', 'common', 'concept']",n.,,"Late 1300s, “something formed in the mind, a thought, a notion”, from conceiven based on analogy of deceit and receipt.', '1510s “fanciful or witty notion”', '~1600, “vanity” through shortening of self-conceit', 'For literature, refers to a motif or trope common in texts.",,"['something formed in the mind', 'a thought', 'a notion']","['understand literary conceits within particular types of literature or particular historical moments.', 'explore how having pre-conceived notions can both help and hinder the exploration of literature as well as our own lives.'

 

]","['What conceits about literature guide your reading?', 
'What conceits are necessary to understand literature?', 
'What conceits about how “life” work to guide your actions?', 
'Are conceits helpful, dangerous, or both?']","The seventeenth century gave us the conceit or intellectualized image of metaphysical poetry, typically Baroque in its ability to express an exuberant sense of design combined with a witty and paradoxical sense of the stress and tension underlying the design.

","Northrup Frye
",Anatomy of Criticism,aswl1_e1
concrete,"['essential', 'common']",adj.,"['concrete (n.)', 'concretize (tr.)', '(v.)']","Late 1400s, “actual, solid”, from Latin concretus “condensed, hardened, thick, hard, stiff, curdled, congealed, clotted”, figuratively “thick; dim,” literally “grown together;” “to grow together,” from com- “together” + crescere “to grow.”', '1834, “building material made from cement, etc.”",,"['actual', 'solid']","['know that concrete is the opposite of abstract.', 'consider the term “concrete” in relation to figurative and literal.', 'explore whether these terms apply to other disciplines as well.', 'know that giving concrete examples for abstract ideas is an especially effective means of communication.'
]","['What are some methods that  a writer can use to concretize an abstract idea?', 
'What might be a problem with writing that is purely concrete or purely abstract?', ]","The second requirement, which is deducible from the first, is the demand that the content of art should be nothing essentially abstract. This does not mean, however, that it should be merely concrete in the sense that the sensuous object is such in its contrast to all that is spiritual and the content of thought, regarding these as the essentially simple and abstract.

","Georg Wilhelm Friedrich Hegel
",The Philosophy of Fine Art,aswl1_e1
constructive,"['essential', 'common']",adj.,"['construct (v.)', 'construct (n.)']","Early 1500s, “derived by interpretation”, from Middle French constructif or from Medieval Latin constructivus, from Latin construct-, past participle stem of construere “to heap up”.',  '1817, “pertaining to construction”', '1841, “having the quality of constructing”', '1841, constructive criticism.",['con-'],"['derived by interpretation', 'pertaining to construction', 'having the quality of constructing']","['consider “constructive,” as an adjective to describe the means by which student-to-student and teacher-to-student criticism should be conducted.', 'understand how to comment upon the work of others in a “constructive” way.', 'consider the verb form (of construct) as useful in how we “construct” an argument or “construct” ourselves.', 'consider the noun form (of construct) as the idea of self being a construct of external forces.', 'consider how our perspectives of the world do not exist in-and-of-themselves, but are “constructed.""']","['How do we give constructive criticism to our peers?', 'To our superiors?', 
'To what extent is identity constructed?', 'Is it possible to “deconstruct” one’s identity and then “re-construct” it?', 
'To what extent is reality itself a construct?']","Imagism is motivated by a distaste for the systematic abstractedness of thought. It presupposes acquaintance with science; that famous activity which is ‘constructive’ with respect to the tools of our economic role in this world, and destructive with respect to nature.

","John Crowe Ransom
",Poetry: A Note in Ontology,aswl1_e1
deus ex machina,"['essential', 'common', 'concept']",n.,,"1690s, from Modern Latin translation of Greek, literally “the god from the machine”, the device by which “gods” were suspended over the stage in Greek theater. The feminine is dea ex machina.",,"['the god from the machine', 'the device by which gods were suspended over the stage in Greek theater']","['know of the use of this device in Greek theatre and the state of this device today.', 
'consider the device in the abstract, i.e.,  escapism, daydreaming, popular culture.'
 
]","['What is the role of the deux ex machina in Greek theatre?', 
'Which playwrights utilized the device?', 
'How is the device used today?', 
'How does the device apply to everyday life?']","The bridge should not be parachuted down from above; it should not be imposed by a deus ex machina upon the social scene; on the contrary it should come from the muscles and the brains of the citizens.

",Frantz Fanon,The Wretched of the Earth,aswl1_e1
dialectic,"['device', 'essential', 'common', 'concept']",n.,['dialectical (adj.)'],"1580s, earlier dialatik (late 1400s), from Old French dialectique (1200s), from Latin dialectica, from Greek dialektike (techne) “(art of) philosophical discussion or discourse”, fem. of dialektikos “of conversation, discourse”, from dialektos “discourse, conversation”. Originally synonymous with logic; in modern philosophy refined by Kant, then by Hegel, who made it mean “process of resolving or merging contradictions in character”.",['Latin dialectica'],"['(art of) philosophical discussion or discourse', 'discourse', 'conversation', 'process of resolving or merging contradictions in character']","['understand what a dialectic view of history is.', 
'examine the relationship between opposing forces.', 
'understand the terms thesis, antithesis, and synthesis.', 
'give examples of dialectic forces in our everyday lives.', 
'local dialectical elements in a text.'
]","['What is a dialectic view of history?',
'How can we synthesize oppositional forces?',
'What comment does the dialectic make upon progress?',
'Are our identities dialectical?']","The notion of the free expression of opinion, indeed, that of intellectual freedom itself in bourgeois society, upon which cultural criticism is founded, has its own dialectic. For while the mind extricated itself from a theological feudal tutelage, it has fallen increasingly under the anonymous sway of the status quo.

","Theodor W. Adorno
",Cultural Criticism and Society,aswl1_e1
Dionysus,"['person', 'common']",n.,['Dionysian (adj.)'],"Of or pertaining to Dionysos (Latin Dionysus), Greek god of wine and revelry, identified with Roman Bacchus. Refers to archetypes of femininity.",,"['god of wine and revelry', 'archetypes of femininity']","['know that Dionysus will function as the primary archetype of masculinity from which other symbolic and archetypal functions will be derived.', 'explore what possibille significations arise from Dionysus and enumerate them.', 'understand how Dionysian archetypes compare to those of Apollo.'
]","['Are there any archetypes that are universal?', 
'What might the presence or absence of universal archetypes suggest about the human condition?', 
'What objects in your classroom or home are Dionysian in nature?', ]","[L]ike Bacchic maidens who draw milk and honey from the rivers when they are under the influence of Dionysus but not when they are in their right mind.  And the soul of the lyric poet does the same, as they themselves say.

",Plato,Ion,aswl1_e1
epilogue,"['device', 'essential', 'common']",n.,,"Early 1500s, from Middle French epilogue (1300s), from Latin epilogus, from Greek epilogos “a conclusion, conclusion of a speech, inference”, from epi “upon, in addition” + logos “a speaking.” Earliest English sense was theatrical.","['epi-', '-logos']","['a conclusion', 'conclusion of a speech']","['know that epilogue is the opposite of prologue.', 'understand the purpose of an epilogue (or conclusion) in their writing.', 'consider how a writer utilizes an epilogue to summarize key points as well as synthesize and conclude the argument.'


]","['What is the purpose of an epilogue?', 
'What componets make for a successful epilogue?', 
'How does an epilogue aid the reader?', 
'How does an epilogue bring an argument to a close?']","Now to come to the end of this definition, I think it would be well to recapitulate in a brief epilogue what has been said before about the final cause of poetry.

","Giacopo Mazzoni
",On the Defense of the Comedy of Dante,aswl1_e1
hero,"['device', 'essential', 'common', 'concept']",n.,"['heroine (n.), fem.', 'heroic (adj.)']","Late 1300s, “man of superhuman strength or physical courage”, from Old French heroe (1300s, Modern French héros), from Latin heros (plural heroes) “hero, demi-god, illustrious man”, from Greek heros (plural heroes) “demi-god,” a variant singular of which was heroe.', '1660s, “man who exhibits great bravery” in any course of action', '1690s, sense of “chief male character in a play, story”', '1713, ""hero-worship"", in reference to ancient cults and mysteries; of living men by 1830s.', '8 BCE, “man born from a god and a mortal”, especially one who had done service to mankind; with the exception of Heracles limited to local deities and patrons of cities.",,"['man of superhuman strength or physical courage, chief male character in a play', 'story']","['identify the hero in a text and provide evidence as to why a particular character is a “hero.""',
'explore different ideas of “heroes” from everyday heroes to superheroes.', 'consider how the idea of a hero has changed over time.'

]","['What are the qualities of a hero?',
'Can anyone be a hero?',  
'How has the idea of hero changed over time?', 
'Who’s your hero?']","As a rough general formula, ‘a length which allows of the hero passing by a series of probable or necessary stages from misfortune to happiness, or from happiness to misfortune’, may suffice as a limit for the magnitude of the story.

",Aristotle,Poetics,aswl1_e1
hubris,"['essential', 'common', 'concept']",n.,['hubristic (adj.)'],"1884, hybris a back-formation from hubristic or else from Greek hybris “wanton violence, insolence, outrage”, originally “presumption toward the gods”; the first element probably ud- “up, out”  but the meaning of the second is debated.",['hybris'],['presumption toward the gods'],"['know that hubris is a type of “hamartia” or tragic flaw.', 'identify hubris in a character and explain how it leads to their downfall.', 'explore why hubris is a tragic flaw.'

]","['What is hubris?',
'Is hubris simply pride?', 
'Can bravery be hubristic?', 
'Why is hubris a tragic flaw?', ]","One could of course understand Creon’s efforts as the marks of hubris and pride, but ‘hubris’ here indicates an attempt to reach too widely and to equate the polis with the whole, rather than an attempt to attempt reach too ‘high.’

",Anthony J. Cascardi,“Tragedy and Philosophy”,aswl1_e1
in medias res,['concept'],adv.,,"From Horace, Latin, literally “in the midst of things”, from medias, accusative fem. plural of medius “middle” + accusative plural of res “a thing,” from  re- “to bestow, endow”.",['re-'],['in the midst of things'],"['know that the convention of an epic is to begin a story in medias res.', 'consider how a narrative that is not an epic may begin in medias res to give an epic aura.', 'consider how we all have entered life “in medias res."" '



]","['What is the effect of beginning a narrative in the middle of the action?', 
'Is beginning a story in the middle of the action an effective technique?', 'Why or why not?', 
'What is suggested about your experience of life being entered upon in medias res?']","The unnamed protagonist opens the book ‘at random’—indeed just as we always hear details, episodes, or encounters of a person’s experience in medias res, and never in any complete way from a pure beginning.

","Garry L. Hagberg
",Literature and the Constitution of Personhood,aswl1_e1
katabasis,['concept'],n.,['Katabatic (adj.)'],"From Ancient Greek kata meaning ""downward"" and basis ""to go"", a journey to the underworld, later Latin equivalent Descensus ad Inferos, especially Christ’s Descent into Hell or Christ’s Harrowing of Hell. Classical Katabasis often entails a hero’s experience of intense suffering, a meeting with the ancestral dead or nekyia, divine revelation, and the retrieval of an archetypal talisman followed by an Anabasis, or a return to the surface. Contemporary Katabases typically retain the focus on intense suffering but may be more pessimistic with regards to a return to the surface.",,['a journey to the underworld'],"['understand that Katabasis can operate on a purely secular level and need not be based upon Christian symbolism and iconography (Salman Rushdie’s The Satanic Verses).', 
'Katabasis can perhaps offer a narrative paradigm for limit events, or experiences of extreme violence; a way of expressing the supposedly inexpressible (consider Primo Levi’s If This is a Man’s use of Dante’s Inferno, for example).', 
'Katabasis often involves narrative distortion as time and space are represented in unusual ways.',  'For example, Katabatic narratives often deviate from chronological plots, settings often delve into the fantastic.', 'trace the use of Katabatic structure and tropes in a literary text and consider how such tropes develop the text’s primary ideas.' ]","['Consider why Katabatic narratives tend to overshadow their Anabatic counterparts (Dante’s Inferno is surely more widely read than his Paradiso).',
'Consider the types of life experiences that might be rendered meaningful through a Katabatic narrative paradigm (consider tropes such as War is Hell, etc.)',
'Consider how even seemingly mundane aspects of contemporary life can be read in Katabatic terms.', 'Dante’s Inferno is commonly interpreted as an allegory for the sinful life people lead in a city; can we read a subway ride in Shanghai as an underworld experience?']","In essence, whether comic or tragic, the narrative dynamic of Katabasis consists of three movements: a descent, an inversion or turning upside down at a zero point and a return to the surface of some kind.
",Rachel Falconer,Hell in Contemporary Literature: Western Descent Narratives Since 1945,aswl1_e1
myth,"['essential', 'common', 'concept']",n.,"['mythological (adj.)', 'mythic (adj.)']","1830, from French Mythe (1818) and directly from Modern Latin mythus, from Greek mythos “speech, thought, story, myth, anything delivered by word of mouth”, of unknown origin.', 'General sense of “untrue story, rumor” is from 1840.",['mythus'],"['speech', 'thought', 'story', 'myth', 'anything delivered by word of mouth untrue story', 'rumor']","['know the difference between myth and mythology.', 
'understand how myth can apply to various entities: self, nation, technology, etc.', 
'understand how myth can apply to commonplace objects: tables, chairs, telephones, etc.', 
'explore the idea of myth as “a type of speech."" '

]","['Is myth related to ideology?',
'How does a more open understanding of myth aid in interpreting culture?',
'What myths pervade your culture?',
'Is myth related to hearsay?',
'What is “demythologization”?']","What is a myth, today? I shall give at the outset a first, very simple answer, which is perfectly consistent with etymology: myth is a type of speech.

",Roland Barthes,Mythologies,aswl1_e1
non-linear,"['essential', 'common']",adj.,"['non-linearly (adv.)', 'non-linearity (n.)']","1844, also nonlinear, from non- + linear.",,"['not arranged in a straight line', 'not sequential or straightforward']","['know that non-linear is the opposite of linear.', 
'understand various non-linear views of time.', 
'explore the use of non-linear narrative frameworks.', 
'consider the efficacy of utlizing non-linear narratives.', 
'consider how thought and memory function non-linearaly.'

]","['Why might a writer present a non-linear narrative?',
'When do we encounter non-linearity in our lives?',
'Is it possible for time to go backwards?',
'How does a rhizomatic view of events undermine linearity?',
'How might the concept of a “non-linear system” in mathematics apply to the study of narrative?']","Life strives to maintain itself, and does so not by ‘picturing’ an outside world, but through an ongoing, interactive and non-linear system of responses and adjustments.

",Claire Colebrook,“Time and Autopoesis: The Organism Has No Future”,aswl1_e1
plot,"['device', 'essential', 'common', 'concept']",n.,['plot (v.)'],"Old English plot “small piece of ground”, of unknown origin.', '1550s, “ground plan, map, chart”', '1580s, “a secret, plan, scheme”, probably by accidental similarity to complot, from Old French complot “combined plan”', '1640s, “set of events in a story”',  '1957 ""plot-line""",,"['a secret', 'plan', 'scheme, set of events in a story']","['consider the term plot in relation to fabula, syuzhet, and the three unities.', 'evaluate a plot diagram.', 
'create a plot diagram.', 
'describe a plot within a plot.', 
'distinguish between a plot and a story.']","['Are there only a finite number of plots?',
'Do our stories have a structure?',
'How do our stories mark out a space?',
'Do our lives have a plot?', 
'Can a story have more than one plot?']","The sensuous externality of form is consequently accepted and represented, as in the symbolic type, as unessential and transient; furthermore the subjective finite spirit and volition is treated in a similar way; a treatment which even includes the idiosyncrasies or caprice of individuals, character, action, or the particular features of incident and plot.

",Georg Wilhelm Friedrich Hegel,The Philosophy of Fine Art,aswl1_e1
point of view,"['device', 'essential', 'common', 'concept']",n.,,"1727, “position from which a thing is viewed”, translating French point de vue, a loan-translation of Latin punctum visus.', '1760, used figuratively.",,['position from which a thing is viewed'],"['know that point of view is a synonym for perspective.', 
'consider point of view in relation to Weltanschauung.', 
'consider how a text has a point of view.', 
'consider the point of view of a character.', 
'experiment with different points of view in writing.', 
'be aware of first-person, second-person, and third-person points of view.']","['How do shifts in point of view effect a text?',
'What is the effect of shifting points of view?',
'Do different perspectives create different stories?',
'Does a second-person point of view have more immediacy than a first- or third-person?',
'When is a first-person perspective best to use?']","The second relation is that of Theory, in which the existing forms and qualities of objects, discovered by observation or experiment, suggest a given arrangement of many under one point of view: and this not merely or principally in order to facilitate the remembrance, recollection, or communication of the same; but for the purposes of understanding, and in most instances of controlling, them.
","Samuel Taylor Coleridge
",Essays on the Principles of Method,aswl1_e1
prologue,"['device', 'essential', 'common', 'concept']",n.,['prologue (v.)'],"Early 1300s, from Old French prologue (1100s) and directly from Latin prologus, from Greek prologos “preface to a play, speaker of a prologue”, literally “a speech beforehand”, from pro- “before” + logos “discourse, speech,” from legein “to speak.”","['pro-', 'logos',]","['preface to a play', 'speaker of a prologue', 'a speech beforehand']","['know that prologue is the opposite of epilogue.', 
'know that a prologue introduces the topic and defines key terms to be used the argument.', 
'examine the relationship between a prologue and its thesis.'
]","['How do writers prologue their arguments?', 
'What elements should a prologue contain?',
'What is the relationship between the prologue and the t hesis?',
'How might the prologue set up a thematic framework for a literary text?', 
'How might a prologue be used to create a mood?']","[I]n the first part, which corresponds to the prologue of tragedy, the poet proposes, narrates, declares the present state of things, and supplies information about the past, as Homer does in his poems...

","Torquato Tasso
",Discourses on the Heroic Poem,aswl1_e1
